	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13743	uracil permease	455	20	0.0	99.73	3	C:GO:0016021; F:GO:0022857; P:GO:0055085	C:integral component of membrane; F:transmembrane transporter activity; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13744	ion channel protein Tsx	241	20	2.3311E-168	99.27	1	C:GO:0009279	C:cell outer membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13747	ureidoglycolate hydrolase	167	20	2.94828E-121	99.25	4	P:GO:0000256; F:GO:0004848; P:GO:0006144; F:GO:0050385	P:allantoin catabolic process; F:ureidoglycolate hydrolase activity; P:purine nucleobase metabolic process; F:ureidoglycolate lyase activity	EC:4.3.2.3; EC:3.5.3.19	Ureidoglycolate lyase; Acting on carbon-nitrogen bonds, other than peptide bonds			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13748	DNA topoisomerase IV subunit B	628	20	0.0	99.23	6	F:GO:0003677; F:GO:0003918; F:GO:0005524; C:GO:0005694; P:GO:0006265; P:GO:0007059	F:DNA binding; F:DNA topoisomerase type II (ATP-hydrolyzing) activity; F:ATP binding; C:chromosome; P:DNA topological change; P:chromosome segregation	EC:3.6.1.3; EC:5.99.1.3; EC:3.6.1.15	Adenosinetriphosphatase; DNA topoisomerase (ATP-hydrolyzing); Nucleoside-triphosphate phosphatase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13749	esterase	193	20	1.81132E-122	99.46	1	F:GO:0016787	F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13751	haloacid dehalogenase	218	20	1.07972E-138	97.49	2	C:GO:0016021; F:GO:0016787	C:integral component of membrane; F:hydrolase activity					
true	[BLASTED]	embl-cds_ABS90325	SH3 domain-containing protein	241	20	5.84507E-157	93.65								
true	[BLASTED]	embl-cds_ABS90326	Uncharacterised protein	268	20	2.68245E-173	95.28								
true	[BLASTED]	embl-cds_ABS90327	peptidase M23	580	20	0.0	99.94								
true	[BLASTED]	embl-cds_ABO13752	peptidase M23	201	20	9.2349E-130	99.95								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13754	Disulfide bond formation protein B	171	20	6.63937E-107	99.47	6	C:GO:0005886; F:GO:0009055; F:GO:0015035; C:GO:0016021; F:GO:0016740; P:GO:0022900	C:plasma membrane; F:electron transfer activity; F:protein disulfide oxidoreductase activity; C:integral component of membrane; F:transferase activity; P:electron transport chain					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13183	AraC family transcriptional regulator	344	20	0.0	99.16	3	F:GO:0003700; P:GO:0006355; F:GO:0043565	F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding					
true	[BLASTED]	embl-cds_ABO13185	long-chain fatty acid transporter	503	20	0.0	99.8								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13187	phosphoadenosine phosphosulfate reductase	244	20	0.0	99.9	8	F:GO:0004604; C:GO:0005737; F:GO:0009973; F:GO:0016740; P:GO:0019344; P:GO:0019379; F:GO:0043866; P:GO:0070814	F:phosphoadenylyl-sulfate reductase (thioredoxin) activity; C:cytoplasm; F:adenylyl-sulfate reductase activity; F:transferase activity; P:cysteine biosynthetic process; P:sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin); F:adenylyl-sulfate reductase (thioredoxin) activity; P:hydrogen sulfide biosynthetic process	EC:1.8.99.2; EC:1.8.4.8; EC:1.8.4.10	Adenylyl-sulfate reductase; Phosphoadenylyl-sulfate reductase (thioredoxin); Adenylyl-sulfate reductase (thioredoxin)			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13188	acetyltransferase	461	20	0.0	99.7	5	F:GO:0004144; P:GO:0045017; F:GO:0047196; F:GO:0102966; F:GO:0103095	F:diacylglycerol O-acyltransferase activity; P:glycerolipid biosynthetic process; F:long-chain-alcohol O-fatty-acyltransferase activity; F:arachidoyl-CoA:1-dodecanol O-acyltransferase activity; F:wax ester synthase activity	EC:2.3.1.75; EC:2.3.1.20	Long-chain-alcohol O-fatty-acyltransferase; Diacylglycerol O-acyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13189	ribonuclease G	469	20	0.0	99.89	4	F:GO:0003723; F:GO:0004540; P:GO:0006396; P:GO:0090501	F:RNA binding; F:ribonuclease activity; P:RNA processing; P:RNA phosphodiester bond hydrolysis					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13190	septum formation inhibitor Maf	186	20	3.63375E-123	98.76	2	C:GO:0005737; F:GO:0047429	C:cytoplasm; F:nucleoside-triphosphate diphosphatase activity	EC:3.6.1.19	Acting on acid anhydrides			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13191	rod shape-determining protein MreD	163	20	8.01664E-102	99.63	2	P:GO:0008360; C:GO:0016021	P:regulation of cell shape; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13195	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	492	20	0.0	99.57	6	F:GO:0004040; F:GO:0005524; P:GO:0006412; F:GO:0016740; C:GO:0030956; F:GO:0050567	F:amidase activity; F:ATP binding; P:translation; F:transferase activity; C:glutamyl-tRNA(Gln) amidotransferase complex; F:glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	EC:3.5.1.4; EC:6.3.5.7	Amidase; Glutaminyl-tRNA synthase (glutamine-hydrolyzing)			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13196	aspartyl/glutamyl-tRNA amidotransferase subunit B	489	20	0.0	99.92	4	F:GO:0005524; P:GO:0006412; F:GO:0016740; F:GO:0050567	F:ATP binding; P:translation; F:transferase activity; F:glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	EC:6.3.5.7	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13197	protease	192	20	1.56069E-128	99.9	4	P:GO:0006508; P:GO:0006541; F:GO:0008233; F:GO:0016740	P:proteolysis; P:glutamine metabolic process; F:peptidase activity; F:transferase activity					
true	[BLASTED]	embl-cds_ABO13199	DUF1176 domain-containing protein	355	20	0.0	99.14								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13201	peptidase M13	682	20	0.0	99.88	2	F:GO:0004222; P:GO:0006508	F:metalloendopeptidase activity; P:proteolysis	EC:3.4.24	Acting on peptide bonds (peptidases)			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13480	cystathionine beta-lyase	396	20	0.0	99.89	4	F:GO:0004121; C:GO:0005737; P:GO:0006520; F:GO:0030170	F:cystathionine beta-lyase activity; C:cytoplasm; P:cellular amino acid metabolic process; F:pyridoxal phosphate binding	EC:4.4.1.8	Cystathionine beta-lyase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13483	transcriptional regulator	158	20	2.72221E-103	98.06	1	F:GO:0003677	F:DNA binding					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13485	metal-dependent hydrolase	315	20	0.0	99.92	2	C:GO:0016021; F:GO:0016787	C:integral component of membrane; F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13486	Proton glutamate symport protein	439	20	0.0	98.85	3	F:GO:0015293; C:GO:0016021; P:GO:0055085	F:symporter activity; C:integral component of membrane; P:transmembrane transport					
true	[]	embl-cds_ABO13488	glycerol-3-phosphate acyltransferase OS=Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377) GN=A1S_3091 SV=2 UP=UP000006737:Chromosome	857											
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13489	RND transporter	328	20	0.0	99.85	2	C:GO:0030288; P:GO:0055085	C:outer membrane-bounded periplasmic space; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13756	DUF924 domain-containing protein	179	20	7.28758E-129	99.36	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13759	aminotransferase	384	20	0.0	99.49	3	F:GO:0008483; P:GO:0009058; F:GO:0030170	F:transaminase activity; P:biosynthetic process; F:pyridoxal phosphate binding					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13760	MATE family efflux transporter	455	20	0.0	99.8	4	P:GO:0006855; F:GO:0015238; F:GO:0015297; C:GO:0016021	P:drug transmembrane transport; F:drug transmembrane transporter activity; F:antiporter activity; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13766	lipase	398	20	0.0	98.76	2	F:GO:0004806; P:GO:0016042	F:triglyceride lipase activity; P:lipid catabolic process	EC:3.1.1.1; EC:3.1.1.3	Carboxylesterase; Triacylglycerol lipase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13767	phosphatidylserine decarboxylase	283	20	0.0	99.84	3	F:GO:0004609; C:GO:0005886; P:GO:0006646	F:phosphatidylserine decarboxylase activity; C:plasma membrane; P:phosphatidylethanolamine biosynthetic process	EC:4.1.1.65	Phosphatidylserine decarboxylase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13769	nicotinate phosphoribosyltransferase	404	20	0.0	99.93	4	F:GO:0004514; F:GO:0004516; P:GO:0009435; P:GO:0019357	F:nicotinate-nucleotide diphosphorylase (carboxylating) activity; F:nicotinate phosphoribosyltransferase activity; P:NAD biosynthetic process; P:nicotinate nucleotide biosynthetic process	EC:2.4.2.19; EC:6.3.4.21	Nicotinate-nucleotide diphosphorylase (carboxylating); Nicotinate phosphoribosyltransferase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13771	Catalase	489	20	0.0	99.93	7	F:GO:0004096; P:GO:0006979; F:GO:0020037; P:GO:0042744; F:GO:0046872; P:GO:0055114; P:GO:0098869	F:catalase activity; P:response to oxidative stress; F:heme binding; P:hydrogen peroxide catabolic process; F:metal ion binding; P:oxidation-reduction process; P:cellular oxidant detoxification	EC:1.11.1.7; EC:1.11.1.6	Peroxidase; Catalase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13772	D-tyrosyl-tRNA(Tyr) deacylase	147	20	3.71644E-103	98.54	7	F:GO:0000049; C:GO:0005737; P:GO:0019478; F:GO:0043908; F:GO:0051499; F:GO:0106026; P:GO:0106074	F:tRNA binding; C:cytoplasm; P:D-amino acid catabolic process; F:Ser(Gly)-tRNA(Ala) hydrolase activity; F:D-aminoacyl-tRNA deacylase activity; F:Gly-tRNA(Ala) hydrolase activity; P:aminoacyl-tRNA metabolism involved in translational fidelity	EC:3.1.1.96; EC:3.1.1.1	D-aminoacyl-tRNA deacylase; Carboxylesterase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13202	microcin B17 transporter	397	20	0.0	99.89	4	F:GO:0005524; P:GO:0015833; C:GO:0016021; F:GO:1904680	F:ATP binding; P:peptide transport; C:integral component of membrane; F:peptide transmembrane transporter activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13207	Bcr/CflA family drug resistance efflux transporter	404	20	0.0	99.68	3	P:GO:0006855; F:GO:0015238; C:GO:0016021	P:drug transmembrane transport; F:drug transmembrane transporter activity; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13208	TIGR01666 family membrane protein	692	20	0.0	100.0	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13210	flavodoxin family protein	848	20	0.0	99.88	4	F:GO:0010181; C:GO:0016021; F:GO:0016491; P:GO:0055114	F:FMN binding; C:integral component of membrane; F:oxidoreductase activity; P:oxidation-reduction process					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13211	YdcF family protein	261	20	0.0	99.81	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED]	embl-cds_ABO13214	DUF1853 domain-containing protein	302	20	0.0	99.45								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13216	succinyl-diaminopimelate desuccinylase	378	20	0.0	99.92	5	F:GO:0008270; F:GO:0009014; P:GO:0009089; P:GO:0019877; F:GO:0050897	F:zinc ion binding; F:succinyl-diaminopimelate desuccinylase activity; P:lysine biosynthetic process via diaminopimelate; P:diaminopimelate biosynthetic process; F:cobalt ion binding	EC:3.5.1.18	Succinyl-diaminopimelate desuccinylase			
true	[BLASTED]	embl-cds_ABS90264	Uncharacterised protein	154	20	1.22313E-110	99.42								
true	[BLASTED]	embl-cds_ABO13497	toluene tolerance protein	191	20	1.08029E-138	99.31								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13505	coproporphyrinogen III oxidase	316	20	0.0	99.86	3	F:GO:0004109; P:GO:0006782; P:GO:0055114	F:coproporphyrinogen oxidase activity; P:protoporphyrinogen IX biosynthetic process; P:oxidation-reduction process	EC:1.3.3.3	Coproporphyrinogen oxidase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13506	shikimate dehydrogenase	262	20	0.0	99.54	6	F:GO:0004764; P:GO:0009073; P:GO:0009423; P:GO:0019632; F:GO:0050661; P:GO:0055114	F:shikimate 3-dehydrogenase (NADP+) activity; P:aromatic amino acid family biosynthetic process; P:chorismate biosynthetic process; P:shikimate metabolic process; F:NADP binding; P:oxidation-reduction process	EC:1.1.1.25; EC:1.1.1.282	Shikimate dehydrogenase; Quinate/shikimate dehydrogenase			
true	[BLASTED]	embl-cds_ABO13507	putative lipoprotein	767	20	0.0	99.0								
true	[BLASTED]	embl-cds_ABO13509	putative lipoprotein	215	20	1.75705E-160	99.81								
true	[BLASTED]	embl-cds_ABO13512	DNA metabolism protein	265	20	0.0	99.7								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13780	thiamine-phosphate kinase	305	20	0.0	99.66	6	F:GO:0000287; F:GO:0005524; F:GO:0009030; P:GO:0009228; P:GO:0009229; P:GO:0016310	F:magnesium ion binding; F:ATP binding; F:thiamine-phosphate kinase activity; P:thiamine biosynthetic process; P:thiamine diphosphate biosynthetic process; P:phosphorylation	EC:2.7.4.16	Thiamine-phosphate kinase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13781	phosphatidylglycerophosphatase A	171	20	6.46632E-119	99.59	7	C:GO:0005886; P:GO:0006655; F:GO:0008962; P:GO:0009395; C:GO:0016021; P:GO:0016311; F:GO:0046872	C:plasma membrane; P:phosphatidylglycerol biosynthetic process; F:phosphatidylglycerophosphatase activity; P:phospholipid catabolic process; C:integral component of membrane; P:dephosphorylation; F:metal ion binding	EC:3.1.3.27; EC:3.1.3.41	Phosphatidylglycerophosphatase; 4-nitrophenylphosphatase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13786	amino acid transporter	207	20	9.47551E-133	99.87	3	C:GO:0005886; P:GO:0006865; C:GO:0016021	C:plasma membrane; P:amino acid transport; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13787	glutamate racemase	266	20	0.0	99.02	4	P:GO:0008360; F:GO:0008881; P:GO:0009252; P:GO:0071555	P:regulation of cell shape; F:glutamate racemase activity; P:peptidoglycan biosynthetic process; P:cell wall organization	EC:5.1.1.10; EC:5.1.1.3	Amino-acid racemase; Glutamate racemase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13788	haloacid dehalogenase	255	20	0.0	99.04	2	P:GO:0008152; F:GO:0016787	P:metabolic process; F:hydrolase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13791	formimidoylglutamase	306	20	0.0	99.15	4	P:GO:0019556; P:GO:0019557; F:GO:0030145; F:GO:0050415	P:histidine catabolic process to glutamate and formamide; P:histidine catabolic process to glutamate and formate; F:manganese ion binding; F:formimidoylglutamase activity	EC:3.5.3.8	Formimidoylglutamase			
true	[]	embl-cds_ABO13217	chemotactic signal transduction system component OS=Acinetobacter baumannii (strain ATCC 17978 / CIP 53.77 / LMG 1025 / NCDC KC755 / 5377) GN=A1S_2811 SV=2 UP=UP000006737:Chromosome	1506											
true	[BLASTED]	embl-cds_ABO13222	signal peptide protein, YSIRK family	180	20	3.08662E-118	99.47								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13231	thiol:disulfide interchange protein	236	20	7.84014E-162	99.77	2	F:GO:0016853; C:GO:0042597	F:isomerase activity; C:periplasmic space					
true	[BLASTED]	embl-cds_ABO13232	sel1 repeat family protein	274	20	9.56567E-165	99.57								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13233	transporter	307	20	0.0	99.53	2	C:GO:0016021; P:GO:0055085	C:integral component of membrane; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13513	putative DNA modification/repair radical SAM protein	420	20	0.0	99.95	3	F:GO:0003677; F:GO:0003824; F:GO:0051536	F:DNA binding; F:catalytic activity; F:iron-sulfur cluster binding					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13514	Tetracycline resistance protein, class C	394	20	0.0	97.8	3	F:GO:0005215; C:GO:0016021; P:GO:0055085	F:transporter activity; C:integral component of membrane; P:transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13516	glycine--tRNA ligase subunit beta	689	20	0.0	99.8	6	F:GO:0004814; F:GO:0004820; F:GO:0005524; C:GO:0005737; P:GO:0006420; P:GO:0006426	F:arginine-tRNA ligase activity; F:glycine-tRNA ligase activity; F:ATP binding; C:cytoplasm; P:arginyl-tRNA aminoacylation; P:glycyl-tRNA aminoacylation	EC:6.1.1.14; EC:6.1.1.19	Glycine--tRNA ligase; Arginine--tRNA ligase			
true	[BLASTED]	embl-cds_ABS90305	putative lipoprotein	276	20	3.41356E-179	99.75								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13518	peptidase S41 family protein	371	20	0.0	85.09	2	P:GO:0006508; F:GO:0008236	P:proteolysis; F:serine-type peptidase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13519	EamA family transporter	297	20	0.0	99.36	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13523	peptidase S8	451	20	0.0	99.88	2	F:GO:0004252; P:GO:0006508	F:serine-type endopeptidase activity; P:proteolysis	EC:3.4.21	Acting on peptide bonds (peptidases)			
true	[BLASTED]	embl-cds_ABO13524	putative tolA	253	20	1.35865E-135	99.39								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13527	succinylglutamate-semialdehyde dehydrogenase	489	20	0.0	99.94	4	P:GO:0019544; P:GO:0019545; F:GO:0043824; P:GO:0055114	P:arginine catabolic process to glutamate; P:arginine catabolic process to succinate; F:succinylglutamate-semialdehyde dehydrogenase activity; P:oxidation-reduction process	EC:1.2.1.71	Succinylglutamate-semialdehyde dehydrogenase			
true	[BLASTED]	embl-cds_ABO13797	HutD family protein	191	20	8.86651E-139	98.3								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13799	acyltransferase	357	20	0.0	96.41	2	C:GO:0016021; F:GO:0016747	C:integral component of membrane; F:transferase activity, transferring acyl groups other than amino-acyl groups					
true	[BLASTED]	embl-cds_ABO13800	GTP-binding protein	421	20	0.0	99.69								
true	[BLASTED]	embl-cds_ABO13801	peptidase M15	227	20	9.30426E-170	99.82								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13804	Maleylacetoacetate isomerase	210	20	3.00735E-154	99.57	5	C:GO:0005737; P:GO:0009072; F:GO:0016034; F:GO:0016740; F:GO:0050077	C:cytoplasm; P:aromatic amino acid family metabolic process; F:maleylacetoacetate isomerase activity; F:transferase activity; F:maleylpyruvate isomerase activity	EC:5.2.1.2; EC:5.2.1.4	Maleylacetoacetate isomerase; Maleylpyruvate isomerase			
true	[BLASTED]	embl-cds_ABO13808	DUF523 domain-containing protein	156	20	7.20818E-111	99.33								
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13809	MATE family efflux transporter	447	20	0.0	99.69	4	P:GO:0006855; F:GO:0015238; F:GO:0015297; C:GO:0016021	P:drug transmembrane transport; F:drug transmembrane transporter activity; F:antiporter activity; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13810	sodium transporter	312	20	3.37902E-179	99.79	1	C:GO:0016021	C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13811	nicotinamidase	212	20	2.05445E-157	99.95	3	P:GO:0008152; F:GO:0008936; F:GO:0046872	P:metabolic process; F:nicotinamidase activity; F:metal ion binding	EC:3.5.1.19	Nicotinamidase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13234	oxidoreductase	369	20	0.0	99.63	5	F:GO:0003959; F:GO:0010181; F:GO:0018548; F:GO:0052690; P:GO:0055114	F:NADPH dehydrogenase activity; F:FMN binding; F:pentaerythritol trinitrate reductase activity; F:trichloro-p-hydroquinone reductive dehalogenase activity; P:oxidation-reduction process	EC:1.8.99; EC:1.6.99.1	Acting on a sulfur group of donors; NADPH dehydrogenase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13236	DNA-3-methyladenine glycosylase	188	20	2.55284E-137	99.2	3	F:GO:0003677; F:GO:0003905; P:GO:0006284	F:DNA binding; F:alkylbase DNA N-glycosylase activity; P:base-excision repair	EC:3.2.2.21	DNA-3-methyladenine glycosylase II			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13237	formamidopyrimidine-DNA glycosylase	274	20	0.0	99.85	6	F:GO:0003684; P:GO:0006284; P:GO:0006289; F:GO:0008270; F:GO:0008534; F:GO:0140078	F:damaged DNA binding; P:base-excision repair; P:nucleotide-excision repair; F:zinc ion binding; F:oxidized purine nucleobase lesion DNA N-glycosylase activity; F:class I DNA-(apurinic or apyrimidinic site) endonuclease activity	EC:4.2.99.18; EC:3.2.2.23	DNA-(apurinic or apyrimidinic site) lyase; DNA-formamidopyrimidine glycosylase			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13239	gamma-glutamylcyclotransferase	117	20	1.26969E-82	99.49	1	F:GO:0016740	F:transferase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13243	16S rRNA methyltransferase	337	20	0.0	99.42	4	F:GO:0003676; C:GO:0005737; P:GO:0031167; F:GO:0052914	F:nucleic acid binding; C:cytoplasm; P:rRNA methylation; F:16S rRNA (guanine(1207)-N(2))-methyltransferase activity	EC:2.1.1.172; EC:2.1.1.52	16S rRNA (guanine(1207)-N(2))-methyltransferase; Transferring one-carbon groups			
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13245	RNA-splicing ligase RtcB	401	20	0.0	99.75	2	P:GO:0006396; F:GO:0008452	P:RNA processing; F:RNA ligase activity					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13247	fimbrial biogenesis protein FimT	171	20	7.91422E-112	99.3	4	F:GO:0008565; C:GO:0015627; P:GO:0015628; C:GO:0016021	F:protein transporter activity; C:type II protein secretion system complex; P:protein secretion by the type II secretion system; C:integral component of membrane					
true	[BLASTED, MAPPED, ANNOTATED]	embl-cds_ABO13248	acetyl-CoA acetyltransferase	391	20	0.0	99.68	2	F:GO:0003985; P:GO:0008152	F:acetyl-CoA C-acetyltransferase activity; P:metabolic process	EC:2.3.1.16; EC:2.3.1.9	Acetyl-CoA C-acyltransferase; Acetyl-CoA C-acetyltransferase			
true	[NO-BLAST]	embl-cds_ABO13249	---NA---	147											
true	[BLASTED]	embl-cds_ABO13251	DUF934 domain-containing protein	161	20	4.14807E-113	99.75								
